key,name,operationalScope,iataCode,city,country,website,email,contactPhone
airport-30,Aeropuerto de Burgos,REGIONAL,RGS,Burgos,España,https://aeropuertoburgos.acme.com,aerburgos@gmail.com,+34603589551
airport-31,Aeropuerto de Reus,REGIONAL,REU,Reus,España,https://aeropuertoreus.acme.com,aerreus@gmail.com,+34603589552
airport-32,Aeropuerto de Logroño,REGIONAL,RJL,Logroño,España,https://aeropuertologrono.acme.com,aerlogrono@gmail.com,+34603589553
airport-33,Aeropuerto de Jerez,REGIONAL,XRY,Jerez,España,https://aeropuertojerez.acme.com,aerjerez@gmail.com,+34603589554
airport-34,Aeropuerto de Huesca,REGIONAL,HSK,Huesca,España,https://aeropuertohuesca.acme.com,aerhuesca@gmail.com,+34603589555
airport-35,Aeropuerto de Lleida,REGIONAL,ILD,Lleida,España,https://aeropuertolleida.acme.com,aerlleida@gmail.com,+34603589556
airport-36,Aeropuerto de Cuatro Vientos,REGIONAL,LEU,Madrid,España,https://aeropuertocuatrovientos.acme.com,aercuatrovientos@gmail.com,+34603589557
airport-37,Aeropuerto de Son Bonet,REGIONAL,LES,Palma,España,https://aeropuertobonet.acme.com,aerbonet@gmail.com,+34603589558
airport-38,Aeropuerto de Vitoria,REGIONAL,VIT,Vitoria,España,https://aeropuertovitoria.acme.com,aervitoria@gmail.com,+34603589559
airport-39,Aeropuerto de Castellón,REGIONAL,CDT,Castellón,España,https://aeropuertocastellon.acme.com,aercastellon@gmail.com,+34603589560
